City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,High Winds,Country,Date
138,hersbruck,49.51,11.43,37.99,64,74,1.99,DE,1585279688
139,port lincoln,-34.73,135.87,70.52,53,28,5.97,AU,1585279688
140,siria,35.0,38.0,55.26,43,100,14.0,SY,1585279689
141,chokurdakh,70.63,147.92,-1.3,90,100,11.65,RU,1585279689
142,touros,-5.2,-35.46,81.93,74,100,8.3,BR,1585279689
143,broken hill,-31.95,141.43,80.6,30,6,5.82,AU,1585279459
144,okhotsk,59.38,143.3,28.69,92,100,17.09,RU,1585279690
145,urucara,-2.54,-57.76,76.39,91,80,2.17,BR,1585279690
146,marystown,47.17,-55.15,31.28,98,100,23.42,CA,1585279690
147,ibicarai,-14.87,-39.59,67.41,90,8,2.55,BR,1585279690
148,longyearbyen,78.22,15.64,5.0,71,40,2.24,SJ,1585279690
149,sola,-13.88,167.55,89.6,75,75,9.8,VU,1585279691
150,betsiamites,48.94,-68.65,30.65,96,100,12.03,CA,1585279691
151,zyryanka,65.75,150.85,16.41,92,55,10.51,RU,1585279691
152,frutal,-20.02,-48.94,67.6,72,0,7.49,BR,1585279692
153,mehamn,71.04,27.85,34.79,91,95,23.67,NO,1585279692
154,mfou,3.72,11.64,71.6,100,75,3.36,CM,1585279692
155,lompoc,34.64,-120.46,51.8,57,1,11.41,US,1585279536
156,bubaque,11.28,-15.83,76.78,71,20,15.23,GW,1585279693
157,vila,42.03,-8.16,37.0,88,2,1.99,PT,1585279693
158,san jose,37.34,-121.89,53.01,57,40,14.99,US,1585279431
159,troy,42.61,-83.15,42.01,93,90,6.93,US,1585279552
160,chimoio,-19.12,33.48,77.0,65,20,2.46,MZ,1585279403
161,guarapari,-20.67,-40.5,70.11,81,1,4.56,BR,1585279694
162,nikolskoye,59.7,30.79,32.14,93,0,6.76,RU,1585279694
163,ancud,-41.87,-73.82,56.75,90,3,3.76,CL,1585279694
164,east london,-33.02,27.91,55.4,58,3,6.93,ZA,1585279554
165,callaguip,18.07,120.49,86.0,70,20,9.17,PH,1585279695
166,isangel,-19.55,169.27,86.0,70,75,6.93,VU,1585279695
167,rocha,-34.48,-54.33,65.48,93,28,6.2,UY,1585279695
168,mayya,61.73,130.28,7.03,92,100,7.11,RU,1585279696
169,nizhniy kuranakh,58.84,125.49,8.46,86,100,9.91,RU,1585279696
170,scottsbluff,41.87,-103.67,41.0,44,1,9.17,US,1585279696
